,idx,YOUTUBE_AUTO_MOS,Depth,Detail_node
10,10,5,8,"['D 1 -> F_name: DTH  (F_Val: 10825911.45, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 7218490.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10825911.45, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 2067237.85, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10825911.45, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 7218490.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 2067237.85, M_Val: 11000000) Branch: trueBranch']"
11,11,5,8,"['D 1 -> F_name: DTH  (F_Val: 11543009.68, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 3835246.28, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 11543009.68, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 623187.18, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 11543009.68, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 3835246.28, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 623187.18, M_Val: 11000000) Branch: trueBranch']"
12,12,5,8,"['D 1 -> F_name: DTH  (F_Val: 10238686.76, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 13386816.86, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10238686.76, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 849974.86, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10238686.76, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 13386816.86, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 849974.86, M_Val: 11000000) Branch: trueBranch']"
13,13,5,8,"['D 1 -> F_name: DTH  (F_Val: 9591643.644, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 20748800.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9591643.644, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1717010.99, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9591643.644, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 20748800.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1717010.99, M_Val: 11000000) Branch: trueBranch']"
14,14,5,8,"['D 1 -> F_name: DTH  (F_Val: 9838270.616, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 55369281.68, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9838270.616, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1886329.74, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9838270.616, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 55369281.68, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1886329.74, M_Val: 11000000) Branch: trueBranch']"
15,15,5,8,"['D 1 -> F_name: DTH  (F_Val: 10041349.45, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 32170579.68, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10041349.45, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 303464.71, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10041349.45, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 32170579.68, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 303464.71, M_Val: 11000000) Branch: trueBranch']"
16,16,5,8,"['D 1 -> F_name: DTH  (F_Val: 8022137.351, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 32183950.6, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 8022137.351, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 248586.17, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 8022137.351, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 32183950.6, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 248586.17, M_Val: 11000000) Branch: trueBranch']"
17,17,5,8,"['D 1 -> F_name: DTH  (F_Val: 9765562.536, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 35094907.31, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9765562.536, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 222787.01, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9765562.536, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 35094907.31, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 222787.01, M_Val: 11000000) Branch: trueBranch']"
18,18,5,8,"['D 1 -> F_name: DTH  (F_Val: 9697205.486, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 30738761.96, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9697205.486, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 129933.1, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9697205.486, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 30738761.96, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 129933.1, M_Val: 11000000) Branch: trueBranch']"
19,19,5,8,"['D 1 -> F_name: DTH  (F_Val: 10105063.92, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 30262684.87, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10105063.92, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 99144.69, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10105063.92, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 30262684.87, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 99144.69, M_Val: 11000000) Branch: trueBranch']"
