,FEEDBACK_DATE,FEEDBACK_VALUE,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS
574,2019-07-16 09:40:08.895000,2,4.0
575,2019-07-16 09:40:19.411000,4,4.0
576,2019-07-16 09:40:44.907000,3,4.0
577,2019-07-16 09:40:53.337000,5,4.0
578,2019-07-16 09:41:00.647000,5,4.0
579,2019-07-16 09:41:08.222000,5,4.0
580,2019-07-16 09:41:13.971000,5,4.0
581,2019-07-16 09:41:20.581000,1,4.0
582,2019-07-16 09:41:26.401000,1,4.0
583,2019-07-16 09:41:31.676000,1,4.0
584,2019-07-16 09:41:49.947000,1,4.0
585,2019-07-16 09:41:59.532000,3,4.0
586,2019-07-16 09:42:15.290000,3,5.0
590,2019-07-16 09:42:51.896000,4,5.0
591,2019-07-16 09:43:08.084000,4,5.0
592,2019-07-16 09:43:13.710000,4,4.0
593,2019-07-16 09:43:26.368000,5,4.0
594,2019-07-16 09:43:31.374000,5,4.0
601,2019-07-16 09:44:37.685000,4,4.0
603,2019-07-16 09:44:50.060000,5,4.0
604,2019-07-16 09:44:59.193000,2,4.0
606,2019-07-16 09:45:20.121000,4,4.0
608,2019-07-16 09:45:24.482000,4,4.0
610,2019-07-16 09:45:50.096000,1,4.0
611,2019-07-16 09:45:54.188000,1,4.0
612,2019-07-16 09:45:57.958000,1,4.0
614,2019-07-16 09:46:04.302000,1,4.0
625,2019-07-16 09:46:43.169000,1,1.0
626,2019-07-16 09:46:47.042000,1,1.0
627,2019-07-16 09:47:00.431000,1,1.0
629,2019-07-16 09:47:24.017000,1,1.0
630,2019-07-16 09:47:34.295000,1,1.0
633,2019-07-16 09:47:38.051000,1,1.0
634,2019-07-16 09:47:44.271000,1,1.0
637,2019-07-16 09:47:48.260000,1,1.0
638,2019-07-16 09:48:04.576000,1,1.0
640,2019-07-16 09:48:11.441000,1,1.0
641,2019-07-16 09:48:17.898000,1,1.0
644,2019-07-16 09:48:28.482000,1,1.0
650,2019-07-16 09:49:35.242000,3,4.0
651,2019-07-16 09:49:41.649000,4,4.0
658,2019-07-16 09:50:50.039000,3,5.0
660,2019-07-16 09:51:00.552000,4,5.0
663,2019-07-16 09:51:12.136000,3,4.0
676,2019-07-16 09:52:10.180000,4,5.0
677,2019-07-16 09:52:18.566000,4,5.0
679,2019-07-16 09:52:22.322000,5,5.0
681,2019-07-16 09:52:26.385000,5,5.0
682,2019-07-16 09:52:30.130000,5,4.0
688,2019-07-16 09:53:15.052000,5,4.0
690,2019-07-16 09:53:18.297000,5,4.0
691,2019-07-16 09:53:22.439000,5,4.0
692,2019-07-16 09:53:25.686000,5,4.0
1135,2019-07-22 12:10:58.817000,4,4.0
1136,2019-07-22 12:11:08.102000,5,4.0
1137,2019-07-22 12:11:15.754000,1,4.0
1138,2019-07-22 12:11:32.323000,3,4.0
1141,2019-07-22 12:11:55.366000,5,4.0
1143,2019-07-22 12:12:08.875000,4,4.0
1144,2019-07-22 12:12:15.384000,1,4.0
1145,2019-07-22 12:12:22.164000,2,4.0
1146,2019-07-22 12:12:31.415000,3,4.0
1147,2019-07-22 12:12:37.922000,3,4.0
1148,2019-07-22 12:12:51.633000,2,4.0
1149,2019-07-22 12:13:00.104000,2,4.0
1150,2019-07-22 12:13:20.273000,4,4.0
1151,2019-07-22 12:14:01.948000,5,5.0
1152,2019-07-22 12:14:06.514000,5,5.0
1153,2019-07-22 12:14:10.674000,5,5.0
1154,2019-07-22 12:14:16.167000,5,5.0
1155,2019-07-22 12:14:20.817000,5,5.0
1156,2019-07-22 12:14:29.405000,5,5.0
1198,2019-07-22 12:18:06.630000,3,5.0
1199,2019-07-22 12:18:09.420000,3,5.0
1200,2019-07-22 12:18:12.514000,3,5.0
1201,2019-07-22 12:18:16.013000,3,5.0
1202,2019-07-22 12:18:22.759000,3,5.0
1203,2019-07-22 12:18:25.989000,3,5.0
1204,2019-07-22 12:18:28.828000,3,5.0
1205,2019-07-22 12:18:32.278000,3,5.0
1206,2019-07-22 12:18:37.400000,3,5.0
1207,2019-07-22 12:18:40.884000,3,5.0
1208,2019-07-22 12:18:47.985000,3,5.0
1209,2019-07-22 12:18:51.416000,3,3.0
1210,2019-07-22 12:18:59.718000,3,3.0
1211,2019-07-22 12:19:02.963000,3,3.0
1212,2019-07-22 12:19:06.244000,3,3.0
1213,2019-07-22 12:19:09.102000,3,3.0
1214,2019-07-22 12:19:11.942000,3,3.0
1215,2019-07-22 12:19:15.475000,3,3.0
1216,2019-07-22 12:19:18.471000,3,3.0
1217,2019-07-22 12:19:23.709000,3,3.0
1229,2019-07-24 08:22:49.066000,5,5.0
1230,2019-07-24 08:22:52.717000,5,5.0
1231,2019-07-24 08:22:56.132000,5,5.0
1232,2019-07-24 08:23:00.579000,5,5.0
1233,2019-07-24 08:23:00.579000,5,5.0
1234,2019-07-24 08:23:03.588000,5,5.0
1235,2019-07-24 08:23:06.395000,5,5.0
1236,2019-07-24 08:23:10.909000,5,5.0
1237,2019-07-24 08:23:21.340000,5,5.0
1238,2019-07-24 08:23:25.178000,5,5.0
1239,2019-07-24 08:23:41.424000,5,4.0
1240,2019-07-24 08:23:46.464000,4,4.0
1241,2019-07-24 08:23:52.399000,4,4.0
1242,2019-07-24 08:23:55.596000,4,4.0
1243,2019-07-24 08:24:00.514000,4,4.0
1244,2019-07-24 08:24:03.692000,4,4.0
1245,2019-07-24 08:24:13.212000,4,4.0
1246,2019-07-24 08:24:16.085000,4,4.0
1247,2019-07-24 08:24:18.942000,4,4.0
1248,2019-07-24 08:24:21.732000,4,4.0
1249,2019-07-24 08:24:24.543000,4,5.0
1250,2019-07-24 08:24:27.413000,4,5.0
