,FEEDBACK_APP,FEEDBACK_VALUE,USER_ID,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS
104,YOUTUBE___GENERAL___MOS,2,620624f1-35df-4afd-b833-187ed7cba840,819056555.9,0.0,0.0,5565640.16,14065320.12,611303.5777,66521.67674,4.0,4.0
105,YOUTUBE___GENERAL___MOS,4,620624f1-35df-4afd-b833-187ed7cba840,387272411.3,0.0,0.0,1688884.48,5445869.78,2060552.369,40583.92203,4.0,5.0
106,YOUTUBE___GENERAL___MOS,3,620624f1-35df-4afd-b833-187ed7cba840,387272411.3,0.0,0.0,1688884.48,5445869.78,2060552.369,40583.92203,4.0,5.0
107,YOUTUBE___GENERAL___MOS,3,620624f1-35df-4afd-b833-187ed7cba840,387272411.3,0.0,0.0,1688884.48,5445869.78,2060552.369,40583.92203,4.0,5.0
108,YOUTUBE___GENERAL___MOS,5,620624f1-35df-4afd-b833-187ed7cba840,387272411.3,0.0,0.0,1688884.48,5445869.78,2060552.369,40583.92203,4.0,5.0
109,YOUTUBE___GENERAL___MOS,4,620624f1-35df-4afd-b833-187ed7cba840,387272411.3,0.0,0.0,1688884.48,5445869.78,2060552.369,40583.92203,4.0,5.0
110,YOUTUBE___GENERAL___MOS,5,620624f1-35df-4afd-b833-187ed7cba840,387272411.3,0.0,0.0,1688884.48,5445869.78,2060552.369,40583.92203,4.0,5.0
111,YOUTUBE___GENERAL___MOS,5,620624f1-35df-4afd-b833-187ed7cba840,387272411.3,0.0,0.0,1688884.48,5445869.78,2060552.369,40583.92203,4.0,5.0
112,YOUTUBE___GENERAL___MOS,4,620624f1-35df-4afd-b833-187ed7cba840,869659386.1,0.0,0.0,3920312.28,13715749.96,1463208.824,82827.62586,5.0,4.0
113,YOUTUBE___GENERAL___MOS,3,620624f1-35df-4afd-b833-187ed7cba840,869659386.1,0.0,0.0,3920312.28,13715749.96,1463208.824,82827.62586,5.0,4.0
114,YOUTUBE___GENERAL___MOS,4,620624f1-35df-4afd-b833-187ed7cba840,869659386.1,0.0,0.0,3920312.28,13715749.96,1463208.824,82827.62586,5.0,4.0
115,YOUTUBE___GENERAL___MOS,5,620624f1-35df-4afd-b833-187ed7cba840,232638745.8,0.0,0.0,900325.78,2231102.4,2345374.42,86204.3866,5.0,5.0
116,YOUTUBE___GENERAL___MOS,5,620624f1-35df-4afd-b833-187ed7cba840,232638745.8,0.0,0.0,900325.78,2231102.4,2345374.42,86204.3866,5.0,5.0
119,YOUTUBE___GENERAL___MOS,2,60902e68-2e7f-421b-b16f-7f11b9069e48,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0
120,YOUTUBE___GENERAL___MOS,2,60902e68-2e7f-421b-b16f-7f11b9069e48,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0
121,YOUTUBE___GENERAL___MOS,2,60902e68-2e7f-421b-b16f-7f11b9069e48,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0
122,YOUTUBE___GENERAL___MOS,2,60902e68-2e7f-421b-b16f-7f11b9069e48,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0
123,YOUTUBE___GENERAL___MOS,1,60902e68-2e7f-421b-b16f-7f11b9069e48,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0
124,YOUTUBE___GENERAL___MOS,1,60902e68-2e7f-421b-b16f-7f11b9069e48,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0
125,YOUTUBE___GENERAL___MOS,2,60902e68-2e7f-421b-b16f-7f11b9069e48,3303547790,0.0,0.0,11294340.32,27797712.96,110344.9385,32443.88377,4.0,2.0
126,YOUTUBE___GENERAL___MOS,3,60902e68-2e7f-421b-b16f-7f11b9069e48,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0
127,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0
128,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0
129,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0
130,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0
131,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0
132,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0
133,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,711805320.8,0.0,0.0,11950090.68,10529586.9,298356.1398,28789.34017,4.0,4.0
138,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,691863236.2,0.0,0.0,6319718.08,10314399.7,1309149.946,32460.78097,4.0,4.0
139,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,691863236.2,0.0,0.0,6319718.08,10314399.7,1309149.946,32460.78097,4.0,4.0
140,YOUTUBE___GENERAL___MOS,3,60902e68-2e7f-421b-b16f-7f11b9069e48,691863236.2,0.0,0.0,6319718.08,10314399.7,1309149.946,32460.78097,4.0,4.0
141,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,691863236.2,0.0,0.0,6319718.08,10314399.7,1309149.946,32460.78097,4.0,4.0
142,YOUTUBE___GENERAL___MOS,5,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
143,YOUTUBE___GENERAL___MOS,5,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
144,YOUTUBE___GENERAL___MOS,5,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
145,YOUTUBE___GENERAL___MOS,5,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
146,YOUTUBE___GENERAL___MOS,5,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
147,YOUTUBE___GENERAL___MOS,5,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
148,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
149,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
150,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
151,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
152,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,602972744.7,0.0,0.0,3300204.8,9215365.9,846263.2752,30646.452680000002,4.0,4.0
153,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,233617533,0.0,0.0,1286389.64,3982891.3,333648.8332,29159.99966,4.0,5.0
154,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,233617533,0.0,0.0,1286389.64,3982891.3,333648.8332,29159.99966,4.0,5.0
