FB Mos 1 vs ITU_QoE,ITU_QoE_Class_1,FB MoS 2 vs IUT_QoE,IUT_QoE_Class_2,FB MoS 3 vs ITU_QoE,ITU_QoE_Class_3,FB MoS 4 vs ITU_QoE,ITU_QoE_Class_4,FB MoS 5 vs ITU_QoE,ITU_QoE_Class_5
1.614964428,1.614964428,1.986363601,1.986363601,1.869230827,1.869230827,1.639789566,1.639789566,1.734944522,1.734944522
1.614964428,1.614964428,1.986363601,1.986363601,1.869230827,1.869230827,1.642891025,1.642891025,1.741964494,1.741964494
1.614964428,1.614964428,1.986363601,1.986363601,1.869230827,1.869230827,1.642891025,1.642891025,1.741964494,1.741964494
1.632302178,1.632302178,1.986363601,1.986363601,1.869230827,1.869230827,1.642891025,1.642891025,1.773238568,1.773238568
1.639788992,1.639788992,1.986363601,1.986363601,1.86952921,1.86952921,1.642891025,1.642891025,1.773238568,1.773238568
1.639788992,1.639788992,1.986363601,1.986363601,1.931346464,1.931346464,1.642891025,1.642891025,1.773238568,1.773238568
1.639803909,1.639803909,1.986363601,1.986363601,1.931346464,1.931346464,1.642891025,1.642891025,1.773238568,1.773238568
1.639803909,1.639803909,1.986363601,1.986363601,1.931346464,1.931346464,1.642891025,1.642891025,1.773238568,1.773238568
1.639803909,1.639803909,1.986363601,1.986363601,1.935363808,1.935363808,1.642891025,1.642891025,1.773238568,1.773238568
1.639803909,1.639803909,1.986363601,1.986363601,1.938650915,1.938650915,1.642891025,1.642891025,1.781238165,1.781238165
1.642891025,1.642891025,1.994875264,1.994875264,1.938650915,1.938650915,1.642891025,1.642891025,1.781238165,1.781238165
1.642891025,1.642891025,1.994875264,1.994875264,1.942579449,1.942579449,1.642891025,1.642891025,1.781238165,1.781238165
1.642891025,1.642891025,1.994875264,1.994875264,1.95294412,1.95294412,1.642891025,1.642891025,1.815826268,1.815826268
1.642891025,1.642891025,1.994875264,1.994875264,1.956109894,1.956109894,1.642891025,1.642891025,1.815826268,1.815826268
1.642891025,1.642891025,1.994875264,1.994875264,1.956109894,1.956109894,1.642891025,1.642891025,1.815826268,1.815826268
1.642891025,1.642891025,1.994875264,1.994875264,1.956109894,1.956109894,1.642891025,1.642891025,1.815826268,1.815826268
1.642891025,1.642891025,1.994875264,1.994875264,1.956109894,1.956109894,1.642891025,1.642891025,1.815826268,1.815826268
1.642891025,1.642891025,1.994875264,1.994875264,1.956109894,1.956109894,1.642891025,1.642891025,1.82784464,1.82784464
